Station Name,Province,Year,Mean Temperature (C),Total Precipitation (mm)
MCLURE,BC,1986,16.6,86.6
MT LOLO ADMIN KAMLOOPS,BC,1986,14.5,84.5
100 MILE HOUSE,BC,1986,13.5,87.2
RED LAKE,BC,1986,12.3,94.0
SALMON ARM 2,BC,1986,17.8,51.0
PINANTAN LAKE,BC,1986,13.7,71.0
SALMON ARM A,BC,1986,16.3,69.1
SEYMOUR ARM,BC,1986,16.3,154.6
SICAMOUS 2,BC,1986,16.9,74.9
SORRENTO EAST,BC,1986,16.7,55.4
SPENCES BRIDGE NICOLA,BC,1986,19.8,68.6
VAVENBY,BC,1986,16.3,71.2
WESTWOLD,BC,1986,15.6,77.0
CLEARWATER CANDLE CRK,BC,1986,15.2,77.4
KAMLOOPS RAYLEIGH,BC,1986,17.9,52.9
MONTE LAKE PAXTON VALLEY,BC,1986,14.0,84.0
BOBBIE BURNS,BC,1986,11.3,90.1
BRISCO,BC,1986,15.0,106.1
BUGABOO CREEK LODGE,BC,1986,9.9,102.0
CARIBOO LODGE,BC,1986,12.2,119.1
GLACIER NP ROGERS PASS,BC,1986,11.0,128.1
GOLDEN A,BC,1986,14.3,102.6
GOLDSTREAM RIVER,BC,1986,14.5,165.1
MICA DAM,BC,1986,14.3,140.4
REVELSTOKE AIRPORT RD,BC,1986,16.1,92.9
VALEMOUNT NORTH,BC,1986,13.8,92.8
YOHO NP WAPTA LAKE,BC,1986,9.0,141.6
GLACIER NP MT FIDELITY,BC,1986,7.4,225.6
YOHO NAT PARK BOULDER CR,BC,1986,12.1,140.6
ARRAS,BC,1986,14.1,86.0
BALDONNEL,BC,1986,15.2,77.4
BOUNDARY LAKE,BC,1986,14.3,60.9
BULLMOOSE,BC,1986,12.0,144.8
CHETWYND A,BC,1986,14.8,84.9
DAWSON CREEK A,BC,1986,15.2,77.4
DENISON PLANT SITE,BC,1986,13.6,96.4
FINLAY FORKS,BC,1986,14.1,133.6
FORT ST JOHN A,BC,1986,15.6,78.1
GERMANSEN LANDING,BC,1986,13.7,102.6
MACKENZIE A,BC,1986,14.2,98.4
PRESPATOU,BC,1986,14.4,55.8
ROLLA,BC,1986,14.6,83.4
ROSE PRAIRIE,BC,1986,14.3,43.4
PINE PASS MT LEMORAY,BC,1986,14.5,110.5
PINK MOUNTAIN 2,BC,1986,12.4,218.8
TAYLOR 3SE,BC,1986,15.6,70.6
TUMBLER RIDGE,BC,1986,14.0,81.2
WARE,BC,1986,14.1,43.7
WONOWON,BC,1986,13.6,130.0
CASSIAR,BC,1986,11.8,49.2
DEASE LAKE,BC,1986,13.2,46.3
FORT NELSON A,BC,1986,17.4,63.1
MIDWAY PROJECT,BC,1986,12.3,70.4
MILE 306 ALASKA HWY,BC,1986,16.7,69.3
MUNCHO LAKE,BC,1986,13.2,190.8
TETSA RIVER,BC,1986,13.1,163.5
SUMMIT LAKE,BC,1986,10.6,245.3
TOAD RIVER,BC,1986,14.2,128.8
ATLIN,BC,1986,13.4,45.4
BEARSKIN LAKE,BC,1986,11.8,6.2
BOB QUINN AGS,BC,1986,14.0,48.2
GRAHAM INLET,BC,1986,11.8,38.2
ISKUT RANCH,BC,1986,12.0,79.1
PLEASANT CAMP,BC,1986,14.1,32.0
TELEGRAPH CREEK,BC,1986,15.5,37.9
TODAGIN RANCH,BC,1986,11.7,85.6
ANVIL,YT,1986,13.0,105.9
BEAVER CREEK A,YT,1986,14.2,90.7
BURWASH A,YT,1986,13.0,101.3
CARCROSS,YT,1986,12.7,38.0
CARMACKS,YT,1986,16.5,47.4
DAWSON A,YT,1986,15.8,42.0
DRURY CREEK,YT,1986,14.1,74.4
EAGLE PLAINS,YT,1986,13.1,61.6
ELSA,YT,1986,15.7,58.9
FARO A,YT,1986,15.5,81.8
HAINES JUNCTION YTG,YT,1986,13.7,56.7
JOHNSONS CROSSING,YT,1986,13.9,65.4
KOMAKUK BEACH A,YT,1986,7.3,25.9
LITTLE GOLD CREEK,YT,1986,11.9,144.0
MAYO A,YT,1986,17.0,49.0
MAYO ROAD,YT,1986,14.5,69.1
MORLEY RIVER,YT,1986,13.1,68.9
OGILVIE RIVER,YT,1986,13.4,52.5
OLD CROW A,YT,1986,14.3,27.6
OTTER FALLS NCPC,YT,1986,13.0,87.6
PELLY RANCH,YT,1986,16.1,73.0
QUIET LAKE,YT,1986,13.4,60.0
ROSS RIVER A,YT,1986,15.1,46.9
SHELDON LAKE,YT,1986,12.6,63.9
SHINGLE POINT A,YT,1986,10.7,54.3
KETZA RIVER MINE,YT,1986,11.0,64.4
MACPHERSON,YT,1986,14.0,64.0
STEWART CROSSING,YT,1986,16.2,44.0
STEWART RIVER,YT,1986,17.0,42.6
SUNNYDALE,YT,1986,16.6,38.6
SWIFT RIVER,YT,1986,11.7,63.9
TAKHINI RIVER RANCH,YT,1986,14.2,43.0
TESLIN A,YT,1986,14.3,41.8
TUCHITUA,YT,1986,13.7,107.3
WATSON LAKE A,YT,1986,15.5,137.5
WHITEHORSE A,YT,1986,14.3,66.9
WHITEHORSE RIVERDALE,YT,1986,15.2,54.4
WOLF CREEK,YT,1986,13.8,44.3
AKLAVIK A,NT,1986,13.2,27.4
ANGUS TOWER,NT,1986,15.7,47.4
CAPE PARRY A,NT,1986,3.4,18.9
FORT GOOD HOPE A,NT,1986,15.4,3.8
FORT LIARD A,NT,1986,17.1,190.4
FORT MCPHERSON A,NT,1986,15.3,20.1
TULITA A,NT,1986,17.1,18.3
FORT RELIANCE,NT,1986,14.0,14.4
FORT RESOLUTION A,NT,1986,17.8,22.0
FORT SIMPSON A,NT,1986,17.2,41.3
FORT SMITH A,NT,1986,15.8,35.2
HAY RIVER A,NT,1986,15.0,23.5
HAY RIVER PARADISE GDNS,NT,1986,15.6,41.8
INUVIK A,NT,1986,13.3,18.4
JAMES CREEK,NT,1986,11.9,16.0
NICHOLSON PENINSULA,NT,1986,5.0,13.7
NORMAN WELLS A,NT,1986,17.1,11.7
PAULATUK A,NT,1986,7.6,26.4
PINE POINT,NT,1986,15.7,20.1
TUKTOYAKTUK,NT,1986,8.2,10.9
TUKTOYAKTUK A,NT,1986,8.7,8.4
TUNGSTEN,NT,1986,12.1,72.9
WRIGLEY A,NT,1986,16.3,51.6
YELLOWKNIFE A,NT,1986,16.6,21.8
YELLOWKNIFE HYDRO,NT,1986,14.8,29.6
YOHIN,NT,1986,5.3,44.1
BAKER LAKE A,NU,1986,10.3,6.3
CLINTON POINT,NU,1986,5.8,24.6
KUGLUKTUK A,NU,1986,9.3,20.6
ARVIAT A,NU,1986,8.5,42.6
CORAL HARBOUR A,NU,1986,9.1,11.5
GJOA HAVEN A,NU,1986,6.7,55.0
JENNY LIND ISLAND A,NU,1986,5.6,6.4
LADY FRANKLIN POINT A,NU,1986,5.4,18.6
LUPIN A,NU,1986,10.5,18.0
PELLY BAY,NU,1986,6.2,28.8
KUGAARUK A,NU,1986,7.9,22.4
RANKIN INLET A,NU,1986,8.2,10.4
SHEPHERD BAY A,NU,1986,7.1,8.0
WHALE COVE A,NU,1986,7.5,13.9
ALERT,NU,1986,2.9,35.8
FOX FIVE,NU,1986,4.6,6.0
BYRON BAY A,NU,1986,8.3,18.4
CAMBRIDGE BAY A,NU,1986,7.1,11.9
CAPE DORSET A,NU,1986,7.8,15.4
CAPE DYER A,NU,1986,5.3,23.4
CAPE HOOPER,NU,1986,5.0,22.5
CLYDE A,NU,1986,3.2,35.6
DEWAR LAKES,NU,1986,5.1,40.6
EUREKA,NU,1986,4.3,6.4
GLADMAN POINT A,NU,1986,6.5,7.1
GRISE FIORD,NU,1986,2.5,31.9
HALL BEACH A,NU,1986,5.9,27.4
IGLOOLIK,NU,1986,5.8,28.8
IGLOOLIK A,NU,1986,6.6,12.9
IQALUIT A,NU,1986,8.8,56.3
LONGSTAFF BLUFF,NU,1986,5.7,15.8
MACKAR INLET,NU,1986,5.6,24.5
NANISIVIK A,NU,1986,1.6,17.7
POND INLET A,NU,1986,4.1,46.8
REPULSE BAY A,NU,1986,7.0,13.2
RESOLUTE CARS,NU,1986,2.2,39.4
TALOYOAK A,NU,1986,6.8,20.3
HOLMAN A,NT,1986,5.3,41.6
MOULD BAY A,NT,1986,2.5,13.5
SACHS HARBOUR A,NT,1986,6.9,1.6
ALLIANCE SOUTH,AB,1986,14.9,176.7
ANDREW,AB,1986,15.7,224.2
AURORA LO,AB,1986,12.3,284.6
BASELINE LO,AB,1986,8.4,163.2
BELLIS,AB,1986,14.6,196.2
BLACKSTONE LO,AB,1986,10.9,285.2
BRAZEAU LO,AB,1986,13.2,238.7
BRETON TOWN,AB,1986,14.3,290.4
BRIGHTVIEW,AB,1986,14.7,164.0
BROWNFIELD,AB,1986,14.7,160.0
CALMAR,AB,1986,15.1,176.3
CAMROSE,AB,1986,15.3,152.6
CAMROSE 2,AB,1986,14.9,137.1
CHAILEY,AB,1986,15.0,97.7
CHAUVIN,AB,1986,14.8,53.6
CONTRACOSTA LAKE,AB,1986,15.3,98.2
COOKING LAKE,AB,1986,14.7,136.9
CORONATION A,AB,1986,14.7,142.4
DAKOTA WEST,AB,1986,14.7,175.3
EDMONTON INT'L A,AB,1986,15.2,144.6
EDMONTON CITY CENTRE A,AB,1986,15.9,123.8
EDMONTON NAMAO A,AB,1986,15.1,141.0
EDMONTON VILLENEUVE A,AB,1986,15.0,201.5
EDMONTON STONY PLAIN,AB,1986,15.2,190.5
EDMONTON WOODBEND,AB,1986,14.8,163.6
ELK ISLAND NAT PARK,AB,1986,14.7,194.9
ELK POINT,AB,1986,15.2,119.2
ELLERSLIE,PE,1986,16.9,122.6
FABYAN,AB,1986,14.6,128.8
FORESTBURG PLANT SITE,AB,1986,15.9,149.8
FORT EDMONTON,AB,1986,15.2,140.2
GLENEVIS,AB,1986,14.8,219.4
GWYNNE,AB,1986,14.8,153.8
HACKETT,AB,1986,14.7,168.4
GIBBONS,AB,1986,14.9,159.0
HASTINGS LAKE,AB,1986,14.7,116.0
HIGHVALE,AB,1986,15.3,219.2
KINSELLA RANCH,AB,1986,15.0,115.5
LLOYDMINSTER A,AB,1986,15.0,187.1
LAMONT,AB,1986,14.9,168.8
NEW BRIGDEN EAST,AB,1986,16.0,114.6
OLIVER TREE NURSERY,AB,1986,15.5,156.2
PARADISE VALLEY,AB,1986,15.0,136.0
PONOKA SOUTH,AB,1986,14.8,146.3
RANFURLY,AB,1986,15.0,98.2
RICINUS,AB,1986,12.0,247.4
ROCKY MTN HOUSE A,AB,1986,13.4,199.2
ST LINA,AB,1986,14.8,159.8
SION,AB,1986,15.4,204.0
STETTLER NORTH,AB,1986,14.6,169.6
TOFIELD NORTH,AB,1986,14.8,178.1
TULLIBY LAKE,AB,1986,15.1,199.0
VEGREVILLE CDA,AB,1986,14.7,130.2
VIKING,AB,1986,15.3,96.0
WAINWRIGHT HEATH,AB,1986,14.8,77.0
WARWICK,AB,1986,15.1,126.0
VEGREVILLE,AB,1986,14.9,119.2
WETASKIWIN SOUTH,AB,1986,15.7,135.8
HORBURG,AB,1986,13.3,279.3
ATLEE,AB,1986,16.0,51.2
BIG STONE,AB,1986,16.3,52.1
BINDLOSS EAST,AB,1986,17.8,63.4
BLOOD INDIAN CREEK,AB,1986,17.4,49.6
BROOKS ONE TREE,AB,1986,16.4,50.0
BURNSTICK LO,AB,1986,12.4,197.3
CRAIGMYLE,AB,1986,15.0,115.6
DICKSON DAM,AB,1986,14.3,162.5
DRUMHELLER CITY,AB,1986,16.7,112.8
ECKVILLE SOUTH,AB,1986,13.7,215.2
EMPRESS,AB,1986,17.9,71.5
GHOST PINE CREEK,AB,1986,14.4,121.0
JENNER,AB,1986,16.7,40.2
LACOMBE CDA,AB,1986,14.2,143.7
MADDEN,AB,1986,13.1,131.1
MIRROR FLETCHER,AB,1986,15.1,157.2
OAKLAND LAKE,AB,1986,13.6,70.4
OLDS,AB,1986,13.5,177.0
OYEN CAPPON,AB,1986,16.1,66.4
RED DEER,AB,1986,14.6,194.7
RED DEER A,AB,1986,14.0,189.5
SCAPA,AB,1986,15.0,163.5
SCHULER,AB,1986,16.9,42.0
SCOTFIELD,AB,1986,15.1,61.2
SIBBALD,AB,1986,16.2,66.5
SUNDRE GARRINGTON,AB,1986,13.5,150.7
TROCHU EQUITY,AB,1986,14.9,147.4
TROCHU TOWN,AB,1986,15.0,138.4
TWO BAR LAKE,AB,1986,15.6,79.0
BRANT,AB,1986,14.6,40.7
BROOKS AHRC,AB,1986,16.5,62.9
CALDWELL,AB,1986,15.3,22.2
CALGARY INT'L A,AB,1986,14.6,93.7
CARDSTON,AB,1986,16.2,28.2
CARWAY,AB,1986,13.9,9.2
CLARESHOLM WATERWORKS,AB,1986,15.5,43.1
CONNELLY CREEK,AB,1986,13.8,19.5
FIVE MILE CREEK,AB,1986,13.2,39.8
FOREMOST,AB,1986,16.6,26.5
FORT MACLEOD,AB,1986,16.2,17.4
GLEICHEN,AB,1986,15.9,69.6
HERRONTON EAST,AB,1986,14.1,46.0
HIGH RIVER,AB,1986,13.2,95.4
LETHBRIDGE A,AB,1986,16.6,12.6
LETHBRIDGE CDA,AB,1986,16.6,16.4
MEDICINE HAT A,AB,1986,17.6,57.2
MEDICINE LODGE LO,AB,1986,13.1,58.5
MONARCH,AB,1986,15.9,12.9
PINCHER CREEK A,AB,1986,15.2,23.0
QUEENSTOWN,AB,1986,15.7,51.2
STRATHMORE EAST,AB,1986,14.4,94.5
SUFFIELD A,AB,1986,17.2,42.2
TABER,AB,1986,17.8,16.5
UNIVERSITY OF CALGARY,AB,1986,14.1,120.0
VAUXHALL CDA,AB,1986,16.5,40.4
VULCAN,AB,1986,15.4,55.0
SPRINGBANK A,AB,1986,12.7,137.5
ADEN,AB,1986,17.3,23.2
ALTAWAN,AB,1986,15.4,20.0
DEL BONITA,AB,1986,14.1,14.4
KNIGHT LAKE,AB,1986,14.0,14.4
MANYBERRIES CDA,AB,1986,17.7,36.6
MASINASIN,AB,1986,17.4,16.2
WARNER WEST,AB,1986,15.8,30.8
WRITING ON STONE PARK,AB,1986,17.3,19.4
BALDY LO,AB,1986,7.2,161.8
BANFF,AB,1986,12.5,96.4
BEAVER MINES,AB,1986,13.9,23.6
BIGHORN DAM,AB,1986,11.6,123.6
BLUEHILL LO,AB,1986,9.2,178.3
BLAIRMORE HQTS RS,AB,1986,13.3,48.0
BURNT TIMBER LO,AB,1986,7.1,98.5
CAMERON FALLS,ON,1986,18.3,38.4
CARBONDALE LO,AB,1986,12.0,32.2
CASTLE MOUNTAIN VILLAGE,AB,1986,10.1,112.8
CLINE LO,AB,1986,8.7,107.8
COLEMAN,AB,1986,13.3,44.5
COLUMBIA ICEFIELD,AB,1986,6.8,111.5
ELBOW RS,AB,1986,11.0,121.7
GHOST RS,AB,1986,10.7,137.8
GRAVE FLATS LO,AB,1986,7.2,235.6
HAILSTONE BUTTE LO,AB,1986,7.5,54.7
IRONSTONE LO,AB,1986,9.5,47.3
JASPER,AB,1986,13.1,115.4
JASPER WEST GATE,AB,1986,11.6,101.4
JUNCTION LO,AB,1986,8.4,62.7
KANANASKIS,AB,1986,12.0,104.8
KANANASKIS BOUNDARY RS,AB,1986,11.2,80.9
KANANASKIS POCATERRA,AB,1986,10.3,94.8
KANANASKIS LO,AB,1986,8.6,88.1
KOOTENAY PLAINS,AB,1986,11.3,107.3
LAKE LOUISE,AB,1986,9.6,90.9
MOCKINGBIRD LO,AB,1986,9.8,163.9
MOOSE MTN LO,AB,1986,5.8,95.4
NORDEGG RS,AB,1986,11.3,228.2
PEKISKO,AB,1986,11.4,85.0
PORCUPINE LO,AB,1986,12.4,66.8
RASPBERRY LO,AB,1986,7.2,54.8
SUGARLOAF LO,AB,1986,7.0,45.5
SUNWAPTA,AB,1986,8.9,152.2
TORRENS LO,AB,1986,8.0,174.8
WATERTON RIVER CABIN,AB,1986,14.6,36.2
ADAMS CREEK LO,AB,1986,6.3,144.1
ALGAR LO,AB,1986,13.6,158.9
ANSELL LO,AB,1986,13.2,213.1
ATHABASCA 2,AB,1986,15.3,179.6
ATHABASCA LO,AB,1986,10.8,177.5
BAIRD LAKE,AB,1986,14.8,149.6
BEAVER LAKE RS,AB,1986,15.8,147.6
BERLAND LO,AB,1986,12.0,147.4
BIRCH MOUNTAIN LO,AB,1986,13.4,158.0
BITUMONT LO,AB,1986,16.1,96.8
BUCKTON LO,AB,1986,13.1,190.0
CALLING LAKE RS,AB,1986,15.0,214.2
CAMPSIE,AB,1986,14.9,147.8
CARROT CREEK LO,AB,1986,13.2,339.7
CHISHOLM LO,AB,1986,14.5,134.8
CHRISTINA LO,AB,1986,14.4,174.3
COLD CREEK RS,AB,1986,13.9,255.1
CONKLIN LO,AB,1986,14.6,215.4
COWPAR LO,AB,1986,15.3,125.8
CROSS LAKE,AB,1986,14.7,198.9
CROSS LAKE RS,AB,1986,14.5,191.0
DEER MOUNTAIN LO,AB,1986,12.4,220.0
EAGLE LO,AB,1986,12.5,194.4
EDSON A,AB,1986,13.6,223.8
ELLS LO,AB,1986,15.1,90.8
ENILDA LO,AB,1986,14.5,125.1
ENTRANCE,AB,1986,12.7,118.8
FLATTOP LO,AB,1986,13.0,168.0
FORT ASSINIBOINE RS,AB,1986,14.9,129.0
FORT MCMURRAY A,AB,1986,16.2,134.0
GOOSE MOUNTAIN LO,AB,1986,11.2,327.4
GORDON LAKE LO,AB,1986,15.1,110.5
GRANDE LO,AB,1986,15.3,129.8
HEART LAKE LO,AB,1986,13.8,194.0
HIGH PRAIRIE A,AB,1986,14.5,116.4
HOUSE MOUNTAIN LO,AB,1986,11.9,237.4
HUCKLEBERRY LO,AB,1986,11.3,171.5
IMPERIAL LO,AB,1986,12.6,131.2
JASPER EAST GATE,AB,1986,13.0,191.5
JOHNSON LAKE LO,AB,1986,14.6,132.6
KAYBOB 3,AB,1986,13.6,162.9
KINUSO RS,AB,1986,15.2,161.5
LIVOCK LO,AB,1986,14.7,115.2
LOVETT LO,AB,1986,10.9,350.7
MARTEN MOUNTAIN LO,AB,1986,12.8,168.8
MAYBERNE LO,AB,1986,10.9,212.6
MAY LO,AB,1986,13.5,199.8
MERIDIAN LO,AB,1986,13.5,221.9
MOBERLY LO,AB,1986,9.3,180.9
MOOSE WALLOW,AB,1986,15.2,144.3
MUSKEG LO,AB,1986,14.4,108.2
OBED LO,AB,1986,9.6,205.5
PASS CREEK LO,AB,1986,12.8,225.8
PRIMROSE LO,AB,1986,14.0,205.3
RICHARDSON LO,AB,1986,16.1,78.1
ROBB RS,AB,1986,12.9,230.6
ROCK ISLAND LAKE LO,AB,1986,14.6,142.6
RONAN,AB,1986,14.4,176.6
ROUND HILL LO,AB,1986,14.0,210.0
SALT PRAIRIE LO,AB,1986,14.5,117.0
SAND RIVER LO,AB,1986,14.3,145.6
SANDY LAKE LO,AB,1986,15.0,131.2
SHINING BANK,AB,1986,13.9,145.8
SLAVE LAKE A,AB,1986,15.1,99.6
SMITH RS,AB,1986,14.6,91.2
STONEY MOUNTAIN LO,AB,1986,14.5,163.7
SWAN DIVE LO,AB,1986,12.5,229.4
SWAN HILLS,AB,1986,11.7,157.0
THICKWOOD LO,AB,1986,15.1,127.4
TOM HILL LO,AB,1986,12.4,185.6
TONY LO,AB,1986,13.1,158.1
VEGA LO,AB,1986,15.0,172.0
VENICE,AB,1986,15.1,208.5
WANDERING RIVER RS,AB,1986,15.3,173.6
WHITECOURT A,AB,1986,14.3,150.2
WHITECOURT LO,AB,1986,12.5,250.4
WINEFRED LO,AB,1986,14.8,192.3
YELLOWHEAD LO,AB,1986,11.3,250.6
WILDWOOD NEWBERY,AB,1986,13.3,252.0
HOPE LAKE,AB,1986,15.0,195.2
HINTON BLUE LAKE CENTRE,AB,1986,11.4,134.7
FORT ASSINIBOINE,AB,1986,14.8,126.6
ADAIR LO,AB,1986,15.5,83.8
AMBER LO,AB,1986,15.2,57.3
BALD MOUNTAIN LO,AB,1986,14.1,109.2
BATTLE RIVER LO,AB,1986,15.5,92.4
BEAVERLODGE CDA,AB,1986,15.1,108.2
BASSET LO,AB,1986,14.5,77.3
BERWYN CDA,AB,1986,15.2,120.0
BIRCH MOUNTAIN TOWER,AB,1986,14.8,104.0
BISON LO,AB,1986,15.0,115.5
BUFFALO LO,AB,1986,14.2,137.0
CADOTTE LO,AB,1986,14.7,94.0
CARIBOU MTN LO,AB,1986,12.7,118.5
CARLSON'S LANDING LO,AB,1986,15.6,80.2
CHINCHAGA LO,AB,1986,14.3,90.2
CHIPEWYAN LAKES LO,AB,1986,15.1,66.6
CLEAR HILLS LO,AB,1986,13.7,132.5
COPTON LO,AB,1986,8.7,144.0
DEADWOOD LO,AB,1986,15.1,96.8
DOIG LO,AB,1986,12.3,133.6
DONNELLY,AB,1986,15.9,109.9
DOUCETTE LO,AB,1986,14.8,92.5
ECONOMY LO,AB,1986,14.3,116.0
EDRA LO,AB,1986,13.4,94.6
ELMWORTH CDA EPF,AB,1986,14.9,114.5
EUREKA RIVER,AB,1986,14.3,134.0
FAIRVIEW,AB,1986,15.6,118.6
FOGGY LO,AB,1986,13.5,68.1
FONTAS LO,AB,1986,13.3,85.8
FORT CHIPEWYAN A,AB,1986,15.7,53.9
FORT VERMILION RS,AB,1986,16.4,118.5
GRANDE CACHE,AB,1986,11.1,150.9
GRANDE CACHE RS,AB,1986,11.7,155.5
GRANDE PRAIRIE A,AB,1986,15.3,105.2
GROVEDALE RS,AB,1986,15.1,89.3
HAWK HILLS LO,AB,1986,14.9,126.3
HAY CAMP TOWER,AB,1986,15.7,40.8
HIGH LEVEL A,AB,1986,16.0,80.8
HOTCHKISS LO,AB,1986,13.5,117.8
JEAN LO,AB,1986,14.1,111.8
KAKWA LO,AB,1986,12.6,112.6
KEG RIVER RS,AB,1986,15.3,100.3
KEG LO,AB,1986,13.6,104.8
KLEWI TOWER,AB,1986,15.8,66.0
KSITUAN,AB,1986,15.9,74.6
LAMBERT CREEK LO,AB,1986,15.6,73.7
LEGEND LO,AB,1986,13.3,120.1
KIMIWAN LO,AB,1986,14.0,108.7
MANNING,AB,1986,15.8,120.6
MUSKWA LO,AB,1986,14.9,120.5
NOSE MOUNTAIN LO,AB,1986,10.7,192.9
NOTIKEWIN LO,AB,1986,13.5,202.9
NOTIKEWIN EAST,AB,1986,15.8,117.4
OTTER LAKES LO,AB,1986,14.2,101.0
PANNY LO,AB,1986,14.8,74.8
PARSON LAKE TOWER,AB,1986,15.9,75.3
PEACE RIVER A,AB,1986,16.0,67.8
PETITOT LO,AB,1986,14.1,68.2
PENANCE TOWER,AB,1986,16.2,105.2
PINTO LO,AB,1986,13.1,105.4
PONTON LO,AB,1986,13.5,131.3
PUSKWASKAU LO,AB,1986,13.6,133.3
RAINBOW RS,AB,1986,15.4,93.1
RED EARTH LO,AB,1986,14.8,111.3
RED EARTH RS,AB,1986,15.2,118.9
SADDLE HILLS LO,AB,1986,13.3,103.2
SIMONETTE,AB,1986,13.6,133.5
SIMONETTE LO,AB,1986,10.9,188.0
RAINBOW LO,AB,1986,15.2,76.6
SMOKY LO,AB,1986,12.7,122.8
SNUFF MOUNTAIN LO,AB,1986,13.5,126.4
STEEN LO,AB,1986,14.3,46.2
SWEATHOUSE LO,AB,1986,13.6,206.4
TALBOT LAKE LO,AB,1986,14.0,107.9
TEEPEE LO,AB,1986,14.2,93.5
TROUT MOUNTAIN LO,AB,1986,14.0,172.0
WABASCA RS,AB,1986,15.9,73.3
WADLIN LO,AB,1986,14.3,110.4
WANHAM CDA,AB,1986,16.9,77.8
WATINO,AB,1986,17.0,107.7
WATT MOUNTAIN LO,AB,1986,14.0,94.4
WHITEFISH LO,AB,1986,14.3,131.6
WHITE MOUNTAIN LO,AB,1986,13.5,92.8
WHITEMUD LO,AB,1986,14.4,122.7
WHITESAND LO,AB,1986,11.7,45.1
WOKING CDA,AB,1986,14.3,66.5
YATES LO,AB,1986,16.0,36.0
ZAMA LO,AB,1986,15.5,113.8
DAVIDSON LAKE TOWER,AB,1986,15.5,64.4
CLEARDALE,AB,1986,15.1,96.9
CROWE TOWER,AB,1986,12.7,97.4
REES TOWER,AB,1986,12.3,96.8
COLD LAKE A,AB,1986,16.2,150.1
AMULET,SK,1986,18.5,77.0
ATWATER,SK,1986,17.3,104.4
BRIERCREST 2,SK,1986,18.6,67.0
BROADVIEW,SK,1986,17.3,112.0
CARLYLE,SK,1986,17.6,115.2
CEYLON,SK,1986,17.5,96.4
COTE,SK,1986,17.2,118.4
CUPAR,SK,1986,17.5,96.4
DAHINDA,SK,1986,17.8,57.4
DAVIDSON,SK,1986,16.9,105.9
DAVIN 5,SK,1986,18.3,99.0
DUVAL,SK,1986,17.6,79.6
ESTEVAN A,SK,1986,19.1,162.8
FENWOOD,SK,1986,16.5,88.6
FERTILE,SK,1986,17.2,132.6
FOAM LAKE,SK,1986,16.8,113.7
GOOD SPIRIT LAKE,SK,1986,17.3,113.5
GRAYSON,SK,1986,17.2,106.3
GUERNSEY,SK,1986,17.4,135.6
HANDSWORTH,SK,1986,18.0,92.3
HUMBOLDT,SK,1986,16.6,163.3
INDIAN HEAD CDA,SK,1986,18.1,138.0
INDIAN HEAD PFRA,SK,1986,18.0,116.4
INSINGER,SK,1986,17.5,140.8
KELLIHER,SK,1986,16.6,73.8
KIPLING,SK,1986,17.0,108.5
KUROKI,SK,1986,16.3,137.2
LAKE ALMA,SK,1986,18.6,114.9
LANGENBURG,SK,1986,16.9,113.8
LAST MOUNTAIN CS,SK,1986,17.8,87.7
LEROY,SK,1986,16.9,151.4
LIPTON,SK,1986,17.3,104.6
LIPTON 2,SK,1986,16.8,126.2
LUMSDEN,SK,1986,18.3,76.0
LUMSDEN 3,SK,1986,18.5,64.2
MARYFIELD,SK,1986,17.8,122.4
MIDALE,SK,1986,18.3,123.6
MONTMARTRE,SK,1986,17.8,124.7
MOOSE JAW A,SK,1986,18.9,35.8
MOOSOMIN,SK,1986,17.9,99.0
MUENSTER,SK,1986,16.7,147.7
NOKOMIS,SK,1986,17.2,139.2
ORMISTON,SK,1986,18.8,40.9
OUNGRE,SK,1986,19.0,153.8
OXBOW,SK,1986,18.4,200.3
PARKBEG,SK,1986,18.6,50.7
PARKERVIEW,SK,1986,16.0,87.1
PASWEGIN,SK,1986,16.9,97.4
PREECEVILLE,SK,1986,17.0,96.6
QU'APPELLE 1,SK,1986,17.7,123.6
RAYMORE,SK,1986,16.9,138.6
REGINA A,SK,1986,18.0,76.8
REGINA CDA,SK,1986,17.5,79.0
ROCANVILLE,SK,1986,18.0,90.5
SEDLEY,SK,1986,17.6,88.4
SEMANS,SK,1986,17.2,149.6
SERATH,SK,1986,16.7,113.3
STORNOWAY,SK,1986,17.1,115.0
STRASBOURG,SK,1986,18.4,78.8
TUGASKE,SK,1986,17.9,84.9
WAPELLA NEWFINLAND,SK,1986,17.2,126.6
WAPELLA PIPESTONE,SK,1986,17.6,83.4
WATROUS,SK,1986,17.3,130.5
WAWOTA,SK,1986,17.0,98.7
WEYBURN,SK,1986,18.4,130.4
WHITEWOOD,SK,1986,17.4,142.2
WILCOX,SK,1986,17.6,89.1
WISHART,SK,1986,16.7,114.0
WOLSELEY,SK,1986,17.9,72.2
WYNYARD,SK,1986,16.8,88.1
YELLOW GRASS,SK,1986,17.8,115.0
YORKTON A,SK,1986,17.2,125.2
ZEHNER,SK,1986,17.1,87.6
REGINA UNIVERSITY,SK,1986,18.3,83.8
ABBEY,SK,1986,17.3,95.0
ALSASK HARDENE,SK,1986,16.7,81.0
ANEROID,SK,1986,18.3,86.1
ASSINIBOIA,SK,1986,18.1,21.0
BEECHY,SK,1986,17.9,96.2
CHAPLIN,SK,1986,18.2,59.8
CODERRE,SK,1986,17.8,98.3
COURVAL,SK,1986,18.1,61.5
